,ID,Full Name,Park Code,States
0,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,Abraham Lincoln Birthplace National Historical Park,abli,KY
1,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Acadia National Park,acad,ME
2,E4C7784E-66A0-4D44-87D0-3E072F5FEF43,Adams National Historical Park,adam,MA
3,1A47416F-DAA3-4137-9F30-14AF86B4E547,African American Civil War Memorial,afam,DC
4,E6E1D22A-7A89-47F8-813C-B611059A8CF9,African Burial Ground National Monument,afbg,NY
5,64B9F127-31ED-43C9-882D-D7CD471AF314,Agate Fossil Beds National Monument,agfo,NE
6,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1,Ala Kahakai National Historic Trail,alka,HI
7,C4E1A9A4-D121-4734-94FA-7788A93C2AAA,Alagnak Wild River,alag,AK
8,7D6098F9-3F75-4775-A56D-CD9C7F9A9488,Alaska Public Lands,anch,AK
9,C08AD828-98FF-478E-A63C-614E7534274B,Alcatraz Island,alca,CA
10,94B046DC-2AFD-4ECB-A60D-CE210A8550B1,Aleutian Islands World War II National Historic Area,aleu,AK
11,6D82D070-995A-4524-A56E-C1CE182E7D9B,Alibates Flint Quarries National Monument,alfl,TX
12,3350C18C-8E07-487B-930E-37AD873D31AD,Allegheny Portage Railroad National Historic Site,alpo,PA
13,D35004EF-5F5A-4DA4-8716-5141BE5C933C,Amache National Historic Site,amch,CO
14,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243,American Memorial Park,amme,MP
15,34CB30BA-8A5F-4563-AA34-6633708DD9DC,Amistad National Recreation Area,amis,TX
16,9463E25C-7342-4A34-9537-4A6DA74B2B06,Anacostia Park,anac,DC
17,00E65872-53F7-4C9B-BD29-B9BC99930D0D,Andersonville National Historic Site,ande,GA
18,2ED6E071-57AA-4B08-8DDA-5CB09FBB75C8,Andrew Johnson National Historic Site,anjo,TN
19,7FF37F14-88C8-469E-A447-ACE6D9AF44D2,Aniakchak National Monument & Preserve,ania,AK
20,8415526C-C932-4236-A634-2D89DF718936,Antietam National Battlefield,anti,MD
21,D84122DD-1B0E-4D13-927C-5D6D2A0D200E,Apostle Islands National Lakeshore,apis,WI
22,FAEF5684-83A4-4CF2-A701-60CF8D4014BD,Appalachian National Scenic Trail,appa,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
23,16CCCC56-1DC1-47D6-AE91-E939955BFC53,Appomattox Court House National Historical Park,apco,VA
24,36240051-018E-4915-B6EA-3F1A7F24FBE4,Arches National Park,arch,UT
25,6876F4F4-9B8F-4648-89EA-C1BBF770C494,Arkansas Post National Memorial,arpo,AR
26,E84B1E08-CCE8-4FFF-8DB6-B92F40953225,"Arlington House, The Robert E. Lee Memorial",arho,VA
27,307BE169-345D-472C-8128-20F1D59864A7,Assateague Island National Seashore,asis,"MD,VA"
28,CD54150B-24F6-4B96-8D6F-B23AF92A70F2,Aztec Ruins National Monument,azru,NM
29,B170CCF7-7AB9-48FF-950E-31815FD4DBB2,Badlands National Park,badl,SD
30,A21F01BC-9E47-4DBE-8655-A1651FC2C1B1,Baltimore-Washington Parkway,bawa,MD
31,E28CA30C-2D81-4394-81E9-67677C412115,Bandelier National Monument,band,NM
32,E7E4E103-5FA9-45AC-8843-05DE554CDBB7,Belmont-Paul Women's Equality National Monument,bepa,DC
33,87F9EFC7-1951-4250-A367-644EC5C4E6A2,Bent's Old Fort National Historic Site,beol,CO
34,EE1F4878-00FB-4760-A77F-EA76DB8DEFD9,Bering Land Bridge National Preserve,bela,AK
35,C9056F71-7162-4208-8AE9-2D0AEFA594FD,Big Bend National Park,bibe,TX
36,E0F4D5E3-3E4A-4345-B86A-1B0CAD7461F1,Big Cypress National Preserve,bicy,FL
37,3262234F-A56A-447D-AE6C-F5C734ABD3A4,Big Hole National Battlefield,biho,MT
38,61EC5C9A-1A38-4040-AE38-E62FD2A9A836,Big South Fork National River & Recreation Area,biso,"KY,TN"
39,3AA12AD8-4FEB-491D-AEB2-CC0F74CD00E0,Big Thicket National Preserve,bith,TX
40,7568A0D8-73B1-44E6-82C7-E10BA1872209,Bighorn Canyon National Recreation Area,bica,"MT,WY"
41,99907F85-7E09-40FE-BF5E-A9AB7F09A7E2,Birmingham Civil Rights National Monument,bicr,AL
42,FBF9F793-5114-4B61-A5BA-6F9ADDFDF459,Biscayne National Park,bisc,FL
43,BDBD573F-97EF-44E7-A579-471679F2C42A,Black Canyon Of The Gunnison National Park,blca,CO
44,A36366E7-5663-4531-B0CE-D58928C6D01B,Blackstone River Valley National Historical Park,blrv,"RI,MA"
45,4A71FEB9-5968-4A27-9794-F202C96FFA55,Blackwell School National Historic Site,blsc,TX
46,712044CE-4C85-48C2-813E-310A9C6C74E1,Blue Ridge Parkway,blri,"NC,VA"
47,14025CA9-91DE-4D36-B4CA-9880463C3BC2,Bluestone National Scenic River,blue,WV
48,6278FE68-139E-4758-A6DE-9A0437F777B5,Booker T Washington National Monument,bowa,VA
49,87F00684-8E1F-4E12-B463-2B5B929A0C74,Boston African American National Historic Site,boaf,MA
